Type,Name,Number,Year,Description,Locus Number,Area Name,Site Name,Geom,D Code,Id String,Basket Barcode,Crate Number,Location,Square,Date,Total Count,Total Weight,Length,Width,Thickness,Kind,Northing,Easting,Latitude,Longitude,Elevation,Srid,Link Name,Other Names,Number,Major Periods,Other Periods,Surveyors,Excavation Institution,Permit Number,Publication Bibliography,Collection Strategy,Paleolithic,Natufian,Neo,Ppn,Ppna,Ppnbc,Pn,Prehistoric,Chal,Eb,Eb1,Eb23,Ib,Mb,Mb2a,Mb2bc,Lb,Ia,Ia1,Ia2,Ia3,Classical,Hel,Rom,Erom,Lrom,Byz,Ebyz,Lbyz,Islamic,Ei,Mi1,Mi23,Li,Mandate Modern,Comments
Basket,NA,NA,NA,Bulk pottery from locus 102,102,A,Kastrouli,"375356.760,4250802.927,547.429",BP-BULK_POTTERY,20001,NA,NA,NA,19-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,"5 coarse ware body sherds, 35 fine ware body sherds, 1 Mycenaean cup rim, 1 platter sherd",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,7/23/2016,42,NA,NA,NA,NA,Pottery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,painted body sherd,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7/29/2016,1,NA,NA,NA,NA,Pottery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,"1 sheep/goat tooth, 3 sheep/goat long bones",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7/23/2016,4,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,"5 coarse ware body sherds, 35 fine ware body sherds, 1 Mycenaean cup rim, 1 platter sherd",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,7/23/2016,42,NA,NA,NA,NA,Pottery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,painted body sherd,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7/29/2016,1,NA,NA,NA,NA,Pottery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,assorted unanalyzed sherds,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,7/29/2016,20,NA,NA,NA,NA,Pottery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,"1 sheep/goat tooth, 3 sheep/goat long bones",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7/23/2016,4,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Locus,NA,NA,NA,Cleaning the north end of the lintel stone,NA,A,Kastrouli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basket,NA,NA,NA,Bulk pottery collection for locus 104,104,A,Kastrouli,"375356.125,4250804.675,547.252",BP-BULK_POTTERY,20004,NA,NA,NA,19-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
